duration;nb_steps;mean_train;max_train;min_train;mean_test_agent;max_test_agent;min_test_agent;mean_test_own;max_test_own;min_test_own;break_counter;n;windows_length;adam_learning_rate;adam_epsilon;batch_size;target_model_update;dueling_option;activation;layers;unit_1;unit_2
179.748619;20000;-42.35114709851552;-33.43333333333334;-80.63333333333333;-37.10333333333334;-34.3;-39.5;11.51965601965602;50;0;100;100;1;0.005;0.001;32;0.001;avg;linear;2;48;16
175.534243;20000;-45.67165532879818;-36.46666666666667;-81.43333333333334;-39.98;-34.13333333333333;-56.0;14.500511770726714;39;0;100;100;1;0.005;0.001;32;0.0005;avg;linear;2;16;16
182.504442;20000;-41.509278469340714;-31.03333333333333;-66.5;-38.079;-35.5;-39.5;10.072303921568627;36;0;100;100;1;0.0001;0.01;32;0.001;avg;linear;2;32;32
174.080435;20000;-46.26877227081309;-34.2;-82.53333333333333;-44.12233333333334;-34.36666666666667;-68.43333333333334;18.215627347858753;44;0;100;100;1;0.0005;0.1;32;0.0005;avg;linear;1;48;16
181.035248;20000;-41.73435747378688;-29.9;-73.26666666666667;-37.14666666666666;-33.56666666666666;-40.5;14.477495107632095;32;0;100;100;1;0.01;0.0001;32;0.005;avg;linear;1;32;32
190.748795;20000;-39.68420060331825;-32.2;-74.0;-36.772333333333336;-34.36666666666667;-37.43333333333334;16.81105527638191;44;0;100;100;1;0.01;0.001;32;0.005;avg;linear;2;32;16
206.960968;20000;-40.92633333333333;-34.5;-64.96666666666667;-39.705;-35.5;-47.5;3.4595419847328244;18;0;100;100;1;0.0001;0.01;32;0.00146;avg;linear;2;32;32
200.383876;20000;-39.95732097539446;-32.4;-72.3;-37.14;-33.833333333333336;-45.13333333333333;17.562166962699823;40;0;100;100;1;0.0005;0.01;32;0.01;avg;linear;2;48;16
197.296759;20000;-44.83927284124745;-35.03333333333333;-79.4;-47.08166666666667;-36.766666666666666;-70.56666666666666;17.996953077391833;56;0;100;100;1;0.001;1e-05;32;0.0005;avg;linear;2;32;32
204.918407;20000;-39.73744564542179;-31.96666666666667;-64.96666666666667;-36.641000000000005;-33.53333333333333;-45.53333333333333;15.882145998240984;39;0;100;100;1;0.00146;0.01;32;0.005;avg;linear;2;48;16
