duration;nb_steps;mean_train;max_train;min_train;mean_test_agent;max_test_agent;min_test_agent;mean_test_own;max_test_own;min_test_own;break_counter;n;windows_length;adam_learning_rate;adam_epsilon;batch_size;target_model_update;dueling_option;activation;layers;unit_1;unit_2;unit_3
237.837887;20000;-43.54469273743017;-32.233333333333334;-79.3;-38.878666666666675;-32.733333333333334;-55.0;14.90627763041556;42;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;64;48;16
237.107366;20000;-45.05193693693694;-33.8;-75.5;-37.16733333333333;-34.36666666666667;-46.4;14.267474370922647;40;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;80;64;16
268.187663;20000;-44.43997528575842;-32.9;-84.0;-43.16;-36.266666666666666;-62.0;17.071209800918837;48;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;80;32;64
254.894633;20000;-42.732701975914885;-30.933333333333334;-82.1;-40.911;-34.266666666666666;-62.833333333333336;16.14820717131474;35;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;80;16;80
243.943578;20000;-44.492566137566136;-33.4;-80.66666666666666;-36.87833333333334;-31.8;-45.8;15.944444444444445;37;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;80;16;48
254.59946;20000;-44.48133271775931;-31.933333333333334;-77.36666666666667;-39.678333333333335;-34.4;-57.0;14.842772612003381;41;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;64;64;32
260.38255;20000;-42.98889309127584;-32.86666666666667;-72.33333333333333;-37.69566666666667;-33.4;-48.0;14.991055456171734;42;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;80;32;16
266.657286;20000;-44.098365877302314;-32.233333333333334;-81.4;-43.219333333333324;-34.733333333333334;-61.96666666666667;15.891428571428571;35;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;32;32;64
263.929031;20000;-45.03511426319937;-32.06666666666666;-82.43333333333334;-41.32233333333333;-34.4;-56.0;17.038992688870838;49;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;48;32;48
271.125843;20000;-45.166198501872664;-32.06666666666666;-74.5;-42.532;-34.3;-54.96666666666667;14.873851294903927;48;0;100;100;1;0.0009;0.0001;32;0.0007;avg;linear;3;48;48;48
